id_key;codigo_region;region;codigo_provincia;provincia;codigo_comina;comuna;poblacion_censada;nunca_asistio;diferncial;parvularia;basica;media;superior;nivel_educativo_no_declarado
1;0;País;0;País;0;País;18480432;552698;100691;821251;4432723;6745582;5711299;116188
2;1;Tarapacá;11;Iquique;1101;Iquique;199587;4930;864;9521;37191;77013;67982;2086
3;1;Tarapacá;11;Iquique;1107;Alto Hospicio;142086;5508;888;9262;37348;64848;23283;949
4;1;Tarapacá;14;Del Tamarugal;1401;Pozo Almonte;16878;640;48;1042;4770;7485;2784;109
5;1;Tarapacá;14;Del Tamarugal;1402;Camiña;1335;91;4;78;614;437;109;2
6;1;Tarapacá;14;Del Tamarugal;1403;Colchane;790;86;0;51;356;234;60;3
7;1;Tarapacá;14;Del Tamarugal;1404;Huara;2858;187;5;174;1019;1123;329;21
8;1;Tarapacá;14;Del Tamarugal;1405;Pica;6272;188;31;401;1751;2678;1203;20
9;2;Antofagasta;21;Antofagasta;2101;Antofagasta;401096;11718;2014;18122;79160;158525;128545;3012
10;2;Antofagasta;21;Antofagasta;2102;Mejillones;14084;518;70;791;3613;6588;2439;65
11;2;Antofagasta;21;Antofagasta;2103;Sierra Gorda;1472;69;2;83;392;669;241;16
12;2;Antofagasta;21;Antofagasta;2104;Taltal;12097;393;48;538;3391;5478;2189;60
13;2;Antofagasta;22;El Loa;2201;Calama;166334;6260;770;6947;35489;69100;46192;1576
14;2;Antofagasta;22;El Loa;2202;Ollagüe;256;9;0;5;84;103;51;4
15;2;Antofagasta;22;El Loa;2203;San Pedro de Atacama;9843;420;26;541;2308;4030;2417;101
16;2;Antofagasta;23;Tocopilla;2301;Tocopilla;25400;608;179;1271;6617;11785;4846;94
17;2;Antofagasta;23;Tocopilla;2302;María Elena;4834;152;9;205;1047;2308;1099;14
18;3;Atacama;31;Copiapó;3101;Copiapó;168831;5199;818;7851;39229;65796;48771;1167
19;3;Atacama;31;Copiapó;3102;Caldera;18805;466;81;933;4725;7719;4726;155
20;3;Atacama;31;Copiapó;3103;Tierra Amarilla;11846;446;44;634;3794;5280;1611;37
21;3;Atacama;32;Chañaral;3201;Chañaral;12345;329;104;643;3409;5301;2493;66
22;3;Atacama;32;Chañaral;3202;Diego de Almagro;11397;298;50;587;2863;4895;2625;79
23;3;Atacama;33;Huasco;3301;Vallenar;54222;1948;431;2608;13812;23256;11801;366
24;3;Atacama;33;Huasco;3302;Alto del Carmen;4788;293;10;149;1684;2040;594;18
25;3;Atacama;33;Huasco;3303;Freirina;7577;319;31;356;2404;3261;1176;30
26;3;Atacama;33;Huasco;3304;Huasco;9369;248;44;449;2501;3979;2054;94
27;4;Coquimbo;41;Elqui;4101;La Serena;250141;6088;1383;10996;50540;89235;90164;1735
28;4;Coquimbo;41;Elqui;4102;Coquimbo;263719;6963;1757;12212;58879;103778;78679;1451
29;4;Coquimbo;41;Elqui;4103;Andacollo;11566;416;25;486;3702;4796;2125;16
30;4;Coquimbo;41;Elqui;4104;La Higuera;4335;278;16;176;1657;1690;490;28
31;4;Coquimbo;41;Elqui;4105;Paiguano;4649;112;14;201;1394;1874;1030;24
32;4;Coquimbo;41;Elqui;4106;Vicuña;28047;955;95;1238;8341;11725;5528;165
33;4;Coquimbo;42;Choapa;4201;Illapel;32009;1134;161;1449;9972;12492;6705;96
34;4;Coquimbo;42;Choapa;4202;Canela;9639;662;20;287;4316;3051;1280;23
35;4;Coquimbo;42;Choapa;4203;Los Vilos;22879;892;124;1167;6895;8678;5052;71
36;4;Coquimbo;42;Choapa;4204;Salamanca;27823;975;123;1251;9566;10506;5307;95
37;4;Coquimbo;43;Limarí;4301;Ovalle;118696;3737;613;5318;34924;47960;25269;875
38;4;Coquimbo;43;Limarí;4302;Combarbalá;12954;588;35;462;5370;4314;2138;47
39;4;Coquimbo;43;Limarí;4303;Monte Patria;29997;1407;117;1180;12546;10861;3848;38
40;4;Coquimbo;43;Limarí;4304;Punitaqui;12076;573;84;465;4622;4575;1728;29
41;4;Coquimbo;43;Limarí;4305;Río Hurtado;4334;262;12;126;1839;1485;605;5
42;5;Valparaíso;51;Valparaíso;5101;Valparaíso;284938;6309;2038;10571;54737;110136;98601;2546
43;5;Valparaíso;51;Valparaíso;5102;Casablanca;29876;884;176;1488;7797;11713;7535;283
44;5;Valparaíso;51;Valparaíso;5103;Concón;48294;1024;193;2089;7816;13496;23189;487
45;5;Valparaíso;51;Valparaíso;5104;Juan Fernández;904;10;3;60;232;296;290;13
46;5;Valparaíso;51;Valparaíso;5105;Puchuncaví;22539;643;140;986;5762;8863;5942;203
47;5;Valparaíso;51;Valparaíso;5107;Quintero;35754;1036;281;1626;8588;14026;9862;335
48;5;Valparaíso;51;Valparaíso;5109;Viña del Mar;334871;7106;1945;12316;57232;114685;139115;2472
49;5;Valparaíso;52;Isla de Pascua;5201;Isla de Pascua;4800;112;14;325;910;1683;1531;225
50;5;Valparaíso;53;Los Andes;5301;Los Andes;63440;1516;361;2827;13771;25288;19308;369
51;5;Valparaíso;53;Los Andes;5302;Calle Larga;16597;482;92;813;4450;6532;4164;64
52;5;Valparaíso;53;Los Andes;5303;Rinconada;11855;361;55;639;3407;4160;3194;39
53;5;Valparaíso;53;Los Andes;5304;San Esteban;20112;627;84;873;5577;7575;5316;60
54;5;Valparaíso;54;Petorca;5401;La Ligua;39270;1274;184;1792;11585;15080;9211;144
55;5;Valparaíso;54;Petorca;5402;Cabildo;20015;828;119;909;6357;7874;3896;32
56;5;Valparaíso;54;Petorca;5403;Papudo;7561;219;29;331;2172;2918;1870;22
57;5;Valparaíso;54;Petorca;5404;Petorca;10206;449;30;423;3244;3983;2058;19
58;5;Valparaíso;54;Petorca;5405;Zapallar;7980;220;20;409;2206;2794;2279;52
59;5;Valparaíso;55;Quillota;5501;Quillota;96753;2381;658;4374;22715;36703;29187;735
60;5;Valparaíso;55;Quillota;5502;Calera;50631;1499;344;2294;12880;21055;12202;357
61;5;Valparaíso;55;Quillota;5503;Hijuelas;19286;743;115;966;6143;7379;3887;53
62;5;Valparaíso;55;Quillota;5504;La Cruz;24939;678;114;1200;5323;8241;9289;94
63;5;Valparaíso;55;Quillota;5506;Nogales;22136;758;158;858;6507;9349;4347;159
64;5;Valparaíso;56;San Antonio;5601;San Antonio;96770;2927;646;4151;23822;41689;22946;589
65;5;Valparaíso;56;San Antonio;5602;Algarrobo;16076;463;58;575;3180;5553;6062;185
66;5;Valparaíso;56;San Antonio;5603;Cartagena;24599;801;164;947;6966;11073;4470;178
67;5;Valparaíso;56;San Antonio;5604;El Quisco;18971;531;136;625;3907;7753;5818;201
68;5;Valparaíso;56;San Antonio;5605;El Tabo;16260;457;123;490;3752;6913;4395;130
69;5;Valparaíso;56;San Antonio;5606;Santo Domingo;13171;354;46;645;3187;4025;4801;113
70;5;Valparaíso;57;San Felipe de Aconcagua;5701;San Felipe;80413;2243;591;3858;19460;31629;22162;470
71;5;Valparaíso;57;San Felipe de Aconcagua;5702;Catemu;13760;453;67;607;4503;5791;2293;46
72;5;Valparaíso;57;San Felipe de Aconcagua;5703;Llaillay;25484;804;160;1292;7611;9983;5554;80
73;5;Valparaíso;57;San Felipe de Aconcagua;5704;Panquehue;7269;238;47;296;2351;2923;1380;34
74;5;Valparaíso;57;San Felipe de Aconcagua;5705;Putaendo;17336;582;102;768;4887;6834;4084;79
75;5;Valparaíso;57;San Felipe de Aconcagua;5706;Santa María;15134;405;120;678;4686;6206;3001;38
76;5;Valparaíso;58;Marga Marga;5801;Quilpué;162559;3349;1000;6137;27815;59470;63438;1350
77;5;Valparaíso;58;Marga Marga;5802;Limache;56145;1576;432;2585;13115;20933;17005;499
78;5;Valparaíso;58;Marga Marga;5803;Olmué;19778;583;155;843;5288;7401;5376;132
79;5;Valparaíso;58;Marga Marga;5804;Villa Alemana;139571;3234;988;5683;25302;51155;52460;749
80;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6101;Rancagua;257744;7515;1571;11042;57303;97593;81313;1407
81;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6102;Codegua;13955;438;93;636;4604;5140;3015;29
82;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6103;Coinco;7916;323;45;316;2661;2784;1747;40
83;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6104;Coltauco;21373;898;106;903;7586;8184;3651;45
84;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6105;Doñihue;21925;702;101;998;6251;8770;5014;89
85;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6106;Graneros;35938;1227;225;1597;9765;14252;8633;239
86;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6107;Las Cabras;27554;1248;107;1131;9644;10973;4377;74
87;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6108;Machalí;60875;1659;284;3151;12994;16828;25581;378
88;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6109;Malloa;13882;531;84;586;5118;5114;2440;9
89;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6110;Mostazal;27394;1021;165;1221;8218;11125;5590;54
90;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6111;Olivar;13901;480;53;565;4359;4920;3505;19
91;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6112;Peumo;14243;543;44;553;4785;5793;2512;13
92;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6113;Pichidegua;20363;863;95;844;7882;7472;3153;54
93;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6114;Quinta de Tilcoco;13558;506;93;551;4751;4960;2685;12
94;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6115;Rengo;63620;2385;419;3034;19040;23670;14843;229
95;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6116;Requínoa;29508;1049;188;1426;9569;10409;6811;56
96;6;Libertador General Bernardo O'Higgins;61;Cachapoal;6117;San Vicente;49559;1645;276;2113;15147;19376;10849;153
97;6;Libertador General Bernardo O'Higgins;62;Cardenal Caro;6201;Pichilemu;19847;795;65;905;5209;6766;5923;184
98;6;Libertador General Bernardo O'Higgins;62;Cardenal Caro;6202;La Estrella;4609;166;11;177;1656;1746;849;4
99;6;Libertador General Bernardo O'Higgins;62;Cardenal Caro;6203;Litueche;8852;364;45;360;3055;3222;1785;21
100;6;Libertador General Bernardo O'Higgins;62;Cardenal Caro;6204;Marchihue;8715;528;20;379;3042;3122;1605;19
101;6;Libertador General Bernardo O'Higgins;62;Cardenal Caro;6205;Navidad;8885;315;37;377;2917;3081;2149;9
102;6;Libertador General Bernardo O'Higgins;62;Cardenal Caro;6206;Paredones;7228;512;39;261;2942;2411;1048;15
103;6;Libertador General Bernardo O'Higgins;63;Colchagua;6301;San Fernando;75585;2260;469;3594;19637;30403;18732;490
104;6;Libertador General Bernardo O'Higgins;63;Colchagua;6302;Chépica;15668;838;87;640;5933;5546;2618;6
105;6;Libertador General Bernardo O'Higgins;63;Colchagua;6303;Chimbarongo;37258;1418;232;1728;13498;13946;6378;58
106;6;Libertador General Bernardo O'Higgins;63;Colchagua;6304;Lolol;7791;520;29;278;2917;2692;1345;10
107;6;Libertador General Bernardo O'Higgins;63;Colchagua;6305;Nancagua;18723;697;100;881;6413;7307;3238;87
108;6;Libertador General Bernardo O'Higgins;63;Colchagua;6306;Palmilla;13060;518;51;506;4844;5070;2037;34
109;6;Libertador General Bernardo O'Higgins;63;Colchagua;6307;Peralillo;12493;519;46;545;4206;4737;2419;21
110;6;Libertador General Bernardo O'Higgins;63;Colchagua;6308;Placilla;9438;354;34;436;3463;3487;1628;36
111;6;Libertador General Bernardo O'Higgins;63;Colchagua;6309;Pumanque;4559;239;12;143;1855;1489;818;3
112;6;Libertador General Bernardo O'Higgins;63;Colchagua;6310;Santa Cruz;41209;1504;190;1934;12039;15663;9790;89
113;7;Maule;71;Talca;7101;Talca;232131;6735;1305;10886;51714;82917;77348;1226
114;7;Maule;71;Talca;7102;Constitución;47004;1791;295;2328;14622;18744;8865;359
115;7;Maule;71;Talca;7103;Curepto;9519;438;35;319;4135;3102;1485;5
116;7;Maule;71;Talca;7104;Empedrado;3990;270;9;190;1641;1342;536;2
117;7;Maule;71;Talca;7105;Maule;61081;1909;309;3670;16449;22294;16160;290
118;7;Maule;71;Talca;7106;Pelarco;9229;479;36;390;3359;3391;1503;71
119;7;Maule;71;Talca;7107;Pencahue;9181;521;25;390;3373;3133;1736;3
120;7;Maule;71;Talca;7108;Río Claro;14276;814;78;570;5817;5047;1895;55
121;7;Maule;71;Talca;7109;San Clemente;47380;2338;243;2164;17637;17240;7551;207
122;7;Maule;71;Talca;7110;San Rafael;11230;536;45;494;4100;4066;1961;28
123;7;Maule;72;Cauquenes;7201;Cauquenes;42798;1893;238;1889;14436;15530;8723;89
124;7;Maule;72;Cauquenes;7202;Chanco;9446;491;19;352;4242;2933;1408;1
125;7;Maule;72;Cauquenes;7203;Pelluhue;8578;401;37;357;3042;2782;1920;39
126;7;Maule;73;Curicó;7301;Curicó;159968;4737;798;8140;43007;58355;44356;575
127;7;Maule;73;Curicó;7302;Hualañé;10775;508;49;470;4030;3597;2075;46
128;7;Maule;73;Curicó;7303;Licantén;6892;225;27;323;2343;2481;1484;9
129;7;Maule;73;Curicó;7304;Molina;48949;1836;291;2381;15744;19312;9172;213
130;7;Maule;73;Curicó;7305;Rauco;11266;481;45;556;4205;4034;1925;20
131;7;Maule;73;Curicó;7306;Romeral;17233;735;71;837;6099;6073;3386;32
132;7;Maule;73;Curicó;7307;Sagrada Familia;19427;800;112;938;7644;6926;2954;53
133;7;Maule;73;Curicó;7308;Teno;30113;1455;135;1304;11469;11083;4619;48
134;7;Maule;73;Curicó;7309;Vichuquén;4716;175;9;181;1865;1493;979;14
135;7;Maule;74;Linares;7401;Linares;96744;2743;503;4675;28031;35823;24563;406
136;7;Maule;74;Linares;7402;Colbún;22637;780;107;1041;8533;8186;3879;111
137;7;Maule;74;Linares;7403;Longaví;33299;1646;120;1378;13958;11758;4355;84
138;7;Maule;74;Linares;7404;Parral;45323;1960;273;2029;15563;16066;9362;70
139;7;Maule;74;Linares;7405;Retiro;22310;1016;102;926;9320;8037;2867;42
140;7;Maule;74;Linares;7406;San Javier;49559;2014;381;2279;16734;18361;9559;231
141;7;Maule;74;Linares;7407;Villa Alegre;17919;605;88;930;6655;6440;3111;90
142;7;Maule;74;Linares;7408;Yerbas Buenas;20035;932;89;838;8390;6982;2746;58
143;8;Biobío;81;Concepción;8101;Concepción;230375;4688;1141;8376;38611;69040;107730;789
144;8;Biobío;81;Concepción;8102;Coronel;123648;3958;748;5985;31940;48057;32760;200
145;8;Biobío;81;Concepción;8103;Chiguayante;85822;2010;467;3610;17525;29206;32760;244
146;8;Biobío;81;Concepción;8104;Florida;12958;584;44;515;4701;4171;2923;20
147;8;Biobío;81;Concepción;8105;Hualqui;25795;1006;221;1087;7970;9611;5812;88
148;8;Biobío;81;Concepción;8106;Lota;39980;1251;298;1654;12040;16002;8677;58
149;8;Biobío;81;Concepción;8107;Penco;48971;1374;285;2200;12410;18939;13698;65
150;8;Biobío;81;Concepción;8108;San Pedro de La paz;150992;4192;931;7705;32697;45225;59659;583
151;8;Biobío;81;Concepción;8109;Santa Juana;14947;693;82;642;5456;4881;3169;24
152;8;Biobío;81;Concepción;8110;Talcahuano;147322;3857;931;5888;30289;53519;52505;333
153;8;Biobío;81;Concepción;8111;Tomé;56907;1670;289;2118;15062;21791;15903;74
154;8;Biobío;81;Concepción;8112;Hualpén;87731;1914;625;3295;17772;32853;31056;216
155;8;Biobío;82;Arauco;8201;Lebu;25246;973;163;1092;8885;9218;4890;25
156;8;Biobío;82;Arauco;8202;Arauco;37163;1461;185;2006;11907;12815;8740;49
157;8;Biobío;82;Arauco;8203;Cañete;34640;1779;154;1453;12476;11954;6783;41
158;8;Biobío;82;Arauco;8204;Contulmo;5905;324;19;193;2285;1992;1082;10
159;8;Biobío;82;Arauco;8205;Curanilahue;31119;1470;171;1434;9861;11665;6488;30
160;8;Biobío;82;Arauco;8206;Los Álamos;21950;1037;114;1034;7881;8118;3734;32
161;8;Biobío;82;Arauco;8207;Tirúa;10208;679;22;417;4373;3077;1633;7
162;8;Biobío;83;Biobío;8301;Los Ángeles;219441;7824;1345;10166;58457;81470;59420;759
163;8;Biobío;83;Biobío;8302;Antuco;4373;159;12;151;1494;1668;866;23
164;8;Biobío;83;Biobío;8303;Cabrero;31256;1485;95;1258;10072;12096;6231;19
165;8;Biobío;83;Biobío;8304;Laja;23706;1133;165;1062;7282;8757;5269;38
166;8;Biobío;83;Biobío;8305;Mulchén;29036;1353;162;1233;10403;11298;4556;31
167;8;Biobío;83;Biobío;8306;Nacimiento;26140;1245;152;1208;7959;9763;5781;32
168;8;Biobío;83;Biobío;8307;Negrete;10723;545;45;468;3885;4007;1756;17
169;8;Biobío;83;Biobío;8308;Quilaco;4440;193;15;179;1676;1709;657;11
170;8;Biobío;83;Biobío;8309;Quilleco;9700;440;34;370;3447;3883;1510;16
171;8;Biobío;83;Biobío;8310;San Rosendo;3575;111;22;120;1099;1392;827;4
172;8;Biobío;83;Biobío;8311;Santa Bárbara;14075;677;47;633;4888;5236;2568;26
173;8;Biobío;83;Biobío;8312;Tucapel;15729;464;83;714;5241;6187;3000;40
174;8;Biobío;83;Biobío;8313;Yumbel;23170;1100;77;781;7853;8677;4650;32
175;8;Biobío;83;Biobío;8314;Alto Biobío;6016;751;36;214;2498;1984;533;0
176;9;La Araucanía;91;Cautín;9101;Temuco;292518;7302;1334;13465;59458;99792;109081;2086
177;9;La Araucanía;91;Cautín;9102;Carahue;24957;1243;118;1088;9850;8973;3555;130
178;9;La Araucanía;91;Cautín;9103;Cunco;19177;649;45;815;6712;7575;3277;104
179;9;La Araucanía;91;Cautín;9104;Curarrehue;7733;331;13;372;3205;2711;1078;23
