id_key;codigo_region;region;poblacion_de_18_anos_o_mas;se_identifica_como_transgenero;no_se_identifica_como_transgenero;sin_clasifiacion
1;0;País;14466501;50642;14244482;171377
2;15;Arica y Parinacota;186079;684;182785;2610
3;1;Tarapacá;272334;1327;266727;4280
4;2;Antofagasta;482315;1998;473510;6807
5;3;Atacama;226415;721;222868;2826
6;4;Coquimbo;643271;2209;633775;7287
7;5;Valparaíso;1505034;5101;1480025;19908
8;13;Metropolitana de Santiago;5839785;22376;5738735;78674
9;6;Libertador General Bernardo O'Higgins;768428;2352;759296;6780
10;7;Maule;873280;2924;862500;7856
11;16;Ñuble;404488;1149;399853;3486
12;8;Biobío;1265269;4388;1251466;9415
13;9;La Araucanía;783037;2151;772837;8049
14;14;Los Ríos;313208;854;308914;3440
15;10;Los Lagos;694729;1832;685441;7456
16;11;Aysén del General Carlos Ibáñez del Campo;76678;161;75613;904
17;12;Magallanes y de la Antártica Chilena;132151;415;130137;1599